78,77,67
211,212,222
256,245,246
78,67,68
56,55,45
81,80,70
90,101,100
123,112,113
170,181,180
138,139,149
166,177,176
244,233,234
246,245,235
238,239,249
250,260,249
248,258,247
90,80,91
163,174,173
222,223,233
44,33,34
67,66,56
56,66,55
94,93,83
138,137,127
119,108,109
114,103,104
133,143,132
102,101,91
88,78,89
79,89,78
121,111,122
155,144,145
169,168,158
137,147,136
222,221,211
207,208,218
221,232,231
229,230,240
199,200,210
192,181,182
245,234,235
222,232,221
246,236,247
242,231,232
169,170,180
188,189,199
146,147,157
158,159,169
179,168,169
158,148,159
188,177,178
168,167,157
137,148,147
147,146,136
149,159,148
160,170,159
160,161,171
150,151,161
173,174,184
194,195,205
150,140,151
182,193,192
259,258,248
258,257,247
205,206,216
205,204,194
151,152,162
194,193,183
138,128,139
139,140,150
141,131,142
161,151,162
164,175,174
116,126,115
114,115,125
102,92,103
104,105,115
127,126,116
113,112,102
92,81,82
96,97,107
71,82,81
83,84,94
57,67,56
55,44,45
56,45,46
44,34,45
57,56,46
68,58,69
57,46,47
58,57,47
69,70,80
59,70,69
79,69,80
58,59,69
90,91,101
80,81,91
71,81,70
82,93,92
103,92,93
91,81,92
94,105,104
104,115,114
93,104,103
118,108,119
126,125,115
113,103,114
135,125,136
124,114,125
135,136,146
125,126,136
92,102,91
103,113,102
134,123,124
113,114,124
122,123,133
124,125,135
111,100,101
123,113,124
110,99,100
101,102,112
135,134,124
122,112,123
57,68,67
57,58,68
68,79,78
68,69,79
79,90,89
79,80,90
67,77,66
78,88,77
89,90,100
89,100,99
101,112,111
88,89,99
121,110,111
132,121,122
122,111,112
110,100,111
143,133,144
144,154,143
155,165,154
134,144,133
145,146,156
134,133,123
132,122,133
156,155,145
154,144,155
146,145,135
146,157,156
179,180,190
176,165,166
155,156,166
157,158,168
181,192,191
177,167,178
176,177,187
155,166,165
167,177,166
177,188,187
191,202,201
187,188,198
198,199,209
209,210,220
220,221,231
243,242,232
244,243,233
253,242,243
253,243,254
245,244,234
243,232,233
209,199,210
198,188,199
233,232,222
220,210,221
234,233,223
221,210,211
200,211,210
213,214,224
200,201,211
214,215,225
225,235,224
222,212,223
255,244,245
254,243,244
254,244,255
255,245,256
246,235,236
234,223,224
257,246,247
257,256,246
247,236,237
235,234,224
236,235,225
223,212,213
201,202,212
227,216,217
236,225,226
224,214,225
213,202,203
179,189,178
180,181,191
193,203,192
213,203,214
202,192,203
211,201,212
200,199,189
202,191,192
189,188,178
223,213,224
212,202,213
145,134,135
145,144,134
167,156,157
167,166,156
190,189,179
190,200,189
180,179,169
178,167,168
168,179,178
180,191,190
201,190,191
201,200,190
158,147,148
158,157,147
148,137,138
136,126,137
159,170,169
171,181,170
148,138,149
137,126,127
149,160,159
161,172,171
149,150,160
149,139,150
150,161,160
162,172,161
171,172,182
184,195,194
184,194,183
195,206,205
204,205,215
204,193,194
160,171,170
172,183,182
171,182,181
183,193,182
203,204,214
203,193,204
204,215,214
227,217,228
227,226,216
225,215,226
248,237,238
236,226,237
239,250,249
237,248,247
249,259,248
260,259,249
248,238,249
237,226,227
261,260,250
238,228,239
226,215,216
205,216,215
217,218,228
238,227,228
238,237,227
206,217,216
218,219,229
186,197,196
196,207,206
206,207,217
219,230,229
228,229,239
228,218,229
229,240,239
240,251,250
252,262,251
239,240,250
251,261,250
241,252,251
240,241,251
262,261,251
217,207,218
206,195,196
208,219,218
230,241,240
163,173,162
185,175,186
207,197,208
196,185,186
172,173,183
185,195,184
185,174,175
185,184,174
185,196,195
197,207,196
183,173,184
172,162,173
141,130,131
140,139,129
163,152,153
151,140,141
151,141,152
140,130,141
152,163,162
164,174,163
152,141,142
163,153,164
152,142,153
130,119,120
118,107,108
130,120,131
119,109,120
97,108,107
117,107,118
106,96,107
130,129,119
117,106,107
119,129,118
130,140,129
116,106,117
95,96,106
129,128,118
116,105,106
118,128,117
129,139,128
93,94,104
95,106,105
128,127,117
115,105,116
117,127,116
128,138,127
71,72,82
82,83,93
95,105,94
72,83,82
84,95,94
