> CRF
121.1765 23.0435 47.8342
121.1758 23.0412 47.8409
121.1751 23.0389 47.8477
121.1743 23.0366 47.8545
121.1736 23.0342 47.8613
121.1728 23.0319 47.8680
121.1721 23.0296 47.8748
121.1714 23.0272 47.8816
121.1708 23.0249 47.8768
121.1703 23.0225 47.8721
121.1697 23.0201 47.8674
121.1692 23.0177 47.8627
121.1687 23.0153 47.8580
121.1681 23.0130 47.8532
121.1676 23.0106 47.8485
121.1670 23.0082 47.8438
121.1665 23.0058 47.8391
121.1660 23.0035 47.8343
121.1654 23.0011 47.8296
121.1649 22.9987 47.8249
121.1643 22.9963 47.8202
121.1638 22.9939 47.8154
121.1633 22.9916 47.8107
121.1627 22.9892 47.8060
121.1622 22.9868 47.8013
121.1617 22.9844 47.7965
121.1611 22.9820 47.7918
121.1606 22.9797 47.7871
121.1599 22.9773 47.7812
121.1592 22.9750 47.7753
121.1586 22.9726 47.7694
121.1579 22.9702 47.7636
121.1572 22.9679 47.7577
121.1566 22.9655 47.7518
121.1559 22.9632 47.7459
121.1552 22.9608 47.7400
121.1545 22.9585 47.7341
121.1539 22.9561 47.7283
121.1532 22.9537 47.7224
121.1525 22.9514 47.7165
121.1519 22.9490 47.7106
121.1512 22.9467 47.7047
121.1505 22.9443 47.6989
121.1499 22.9420 47.6930
121.1492 22.9396 47.6871
121.1485 22.9373 47.6812
121.1479 22.9349 47.6753
121.1472 22.9325 47.6695
121.1464 22.9302 47.6625
121.1456 22.9279 47.6556
121.1448 22.9256 47.6486
121.1440 22.9233 47.6417
121.1432 22.9210 47.6347
121.1424 22.9187 47.6278
121.1417 22.9164 47.6208
121.1409 22.9141 47.6139
121.1401 22.9117 47.6069
121.1393 22.9094 47.6000
121.1385 22.9071 47.5930
121.1377 22.9048 47.5861
121.1369 22.9025 47.5791
121.1361 22.9002 47.5722
121.1353 22.8979 47.5652
121.1345 22.8956 47.5583
121.1338 22.8933 47.5513
121.1330 22.8909 47.5444
121.1322 22.8886 47.5374
121.1314 22.8863 47.5305
121.1310 22.8839 47.5270
121.1306 22.8815 47.5236
121.1302 22.8791 47.5201
121.1298 22.8767 47.5167
121.1294 22.8743 47.5132
121.1290 22.8719 47.5097
121.1286 22.8695 47.5063
121.1282 22.8671 47.5028
121.1278 22.8647 47.4994
121.1274 22.8623 47.4959
121.1270 22.8599 47.4924
121.1266 22.8574 47.4890
121.1263 22.8550 47.4855
121.1259 22.8526 47.4820
121.1255 22.8502 47.4786
121.1251 22.8478 47.4751
121.1247 22.8454 47.4717
121.1243 22.8430 47.4682
121.1239 22.8406 47.4647
121.1235 22.8382 47.4613
121.1232 22.8358 47.4587
121.1229 22.8334 47.4561
121.1226 22.8310 47.4535
121.1223 22.8286 47.4509
121.1220 22.8262 47.4483
121.1217 22.8238 47.4457
121.1214 22.8214 47.4431
121.1211 22.8189 47.4405
121.1208 22.8165 47.4379
121.1205 22.8141 47.4353
121.1202 22.8117 47.4327
121.1199 22.8093 47.4301
121.1196 22.8069 47.4275
121.1193 22.8045 47.4249
121.1190 22.8021 47.4223
121.1188 22.7997 47.4197
121.1185 22.7973 47.4171
121.1182 22.7949 47.4145
121.1179 22.7925 47.4119
121.1176 22.7901 47.4093
> Changhua
120.6467 24.3689 3.0072
120.6451 24.3670 3.0079
120.6434 24.3651 3.0086
120.6418 24.3632 3.0093
120.6401 24.3613 3.0100
120.6385 24.3594 3.0107
120.6368 24.3575 3.0114
120.6352 24.3556 3.0121
120.6336 24.3537 3.0128
120.6319 24.3518 3.0135
120.6303 24.3499 3.0142
120.6286 24.3480 3.0150
120.6270 24.3461 3.0157
120.6253 24.3442 3.0164
120.6237 24.3423 3.0171
120.6220 24.3404 3.0178
120.6204 24.3385 3.0185
120.6187 24.3366 3.0192
120.6171 24.3347 3.0199
120.6155 24.3328 3.0206
120.6138 24.3309 3.0213
120.6127 24.3287 3.0208
120.6115 24.3264 3.0203
120.6104 24.3242 3.0198
120.6093 24.3220 3.0194
120.6081 24.3198 3.0189
120.6070 24.3175 3.0184
120.6059 24.3153 3.0179
120.6047 24.3131 3.0174
120.6036 24.3109 3.0170
120.6025 24.3086 3.0165
120.6013 24.3064 3.0160
120.6002 24.3042 3.0155
120.5990 24.3019 3.0150
120.5979 24.2997 3.0145
120.5968 24.2975 3.0141
120.5956 24.2953 3.0136
120.5945 24.2930 3.0131
120.5934 24.2908 3.0126
120.5922 24.2886 3.0121
120.5911 24.2864 3.0117
120.5898 24.2842 3.0113
120.5884 24.2821 3.0109
120.5871 24.2800 3.0106
120.5857 24.2778 3.0102
120.5844 24.2757 3.0099
120.5831 24.2736 3.0095
120.5817 24.2714 3.0092
120.5804 24.2693 3.0088
120.5791 24.2672 3.0084
120.5777 24.2650 3.0081
120.5764 24.2629 3.0077
120.5750 24.2608 3.0074
120.5737 24.2586 3.0070
120.5724 24.2565 3.0067
120.5710 24.2544 3.0063
120.5697 24.2522 3.0060
120.5684 24.2501 3.0056
120.5670 24.2480 3.0052
120.5657 24.2458 3.0049
120.5643 24.2437 3.0045
120.5636 24.2414 3.0043
120.5628 24.2390 3.0041
120.5620 24.2367 3.0039
120.5612 24.2344 3.0037
120.5604 24.2320 3.0035
120.5596 24.2297 3.0033
120.5588 24.2273 3.0030
120.5580 24.2250 3.0028
120.5572 24.2227 3.0026
120.5565 24.2203 3.0024
120.5557 24.2180 3.0022
120.5549 24.2156 3.0020
120.5541 24.2133 3.0018
120.5533 24.2110 3.0016
120.5525 24.2086 3.0014
120.5517 24.2063 3.0011
120.5509 24.2039 3.0009
120.5501 24.2016 3.0007
120.5493 24.1993 3.0005
120.5486 24.1969 3.0003
120.5486 24.1945 3.0003
120.5486 24.1921 3.0003
120.5486 24.1897 3.0003
120.5486 24.1873 3.0003
120.5486 24.1850 3.0003
120.5486 24.1826 3.0003
120.5486 24.1802 3.0003
120.5486 24.1778 3.0003
120.5486 24.1754 3.0003
120.5486 24.1730 3.0003
120.5486 24.1706 3.0003
120.5486 24.1682 3.0003
120.5486 24.1658 3.0003
120.5486 24.1634 3.0003
120.5486 24.1610 3.0003
120.5486 24.1586 3.0003
120.5486 24.1562 3.0003
120.5486 24.1538 3.0003
120.5486 24.1514 3.0003
120.5486 24.1490 3.0003
120.5486 24.1466 3.0004
120.5486 24.1441 3.0005
120.5486 24.1417 3.0006
120.5486 24.1392 3.0007
120.5486 24.1368 3.0008
120.5486 24.1343 3.0009
120.5486 24.1319 3.0010
120.5486 24.1294 3.0011
120.5486 24.1270 3.0013
120.5486 24.1245 3.0014
120.5486 24.1221 3.0015
120.5486 24.1196 3.0016
120.5486 24.1172 3.0017
120.5486 24.1147 3.0018
120.5486 24.1123 3.0019
120.5486 24.1098 3.0020
120.5486 24.1074 3.0021
120.5486 24.1049 3.0022
120.5486 24.1024 3.0023
120.5486 24.1000 3.0025
120.5485 24.0975 3.0026
120.5483 24.0951 3.0027
120.5481 24.0927 3.0028
120.5480 24.0902 3.0029
120.5478 24.0878 3.0030
120.5477 24.0853 3.0031
120.5475 24.0829 3.0032
120.5474 24.0804 3.0033
120.5472 24.0780 3.0034
120.5470 24.0755 3.0035
120.5469 24.0731 3.0036
120.5467 24.0706 3.0038
120.5466 24.0682 3.0039
120.5464 24.0657 3.0040
120.5462 24.0633 3.0041
120.5461 24.0608 3.0042
120.5459 24.0584 3.0043
120.5458 24.0559 3.0044
120.5456 24.0535 3.0045
120.5455 24.0510 3.0046
120.5469 24.0491 3.0047
120.5483 24.0472 3.0048
120.5497 24.0453 3.0050
120.5511 24.0434 3.0051
120.5525 24.0415 3.0052
120.5539 24.0396 3.0053
120.5553 24.0377 3.0054
120.5568 24.0358 3.0055
120.5582 24.0339 3.0056
120.5596 24.0320 3.0057
120.5610 24.0300 3.0058
120.5624 24.0281 3.0059
120.5638 24.0262 3.0060
120.5652 24.0243 3.0062
120.5666 24.0224 3.0063
120.5681 24.0205 3.0064
120.5695 24.0186 3.0065
120.5709 24.0167 3.0066
120.5723 24.0148 3.0067
120.5737 24.0129 3.0068
120.5752 24.0108 3.0072
120.5766 24.0087 3.0076
120.5781 24.0067 3.0081
120.5795 24.0046 3.0085
120.5810 24.0025 3.0089
120.5824 24.0005 3.0093
120.5839 23.9984 3.0097
120.5854 23.9963 3.0101
120.5868 23.9943 3.0105
120.5883 23.9922 3.0109
120.5897 23.9902 3.0114
120.5912 23.9881 3.0118
120.5926 23.9860 3.0122
120.5941 23.9840 3.0126
120.5956 23.9819 3.0130
120.5970 23.9798 3.0134
120.5985 23.9778 3.0138
120.5999 23.9757 3.0143
120.6014 23.9736 3.0147
120.6028 23.9716 3.0151
120.6033 23.9692 3.0155
120.6037 23.9668 3.0159
120.6041 23.9644 3.0162
120.6046 23.9621 3.0166
120.6050 23.9597 3.0170
120.6054 23.9573 3.0174
120.6059 23.9549 3.0178
120.6063 23.9525 3.0182
120.6067 23.9502 3.0186
120.6072 23.9478 3.0190
120.6076 23.9454 3.0193
120.6080 23.9430 3.0197
120.6084 23.9407 3.0201
120.6089 23.9383 3.0205
120.6093 23.9359 3.0209
120.6097 23.9335 3.0213
120.6102 23.9311 3.0217
120.6106 23.9288 3.0220
120.6110 23.9264 3.0224
120.6115 23.9240 3.0228
120.6115 23.9216 3.0228
