> CRF
121.1765 23.0435 28.6947
121.1758 23.0412 28.6947
121.1751 23.0389 28.6947
121.1743 23.0366 28.6947
121.1736 23.0342 28.6947
121.1728 23.0319 28.6948
121.1721 23.0296 28.6948
121.1714 23.0272 28.6948
121.1708 23.0249 28.6947
121.1703 23.0225 28.6947
121.1697 23.0201 28.6947
121.1692 23.0177 28.6946
121.1687 23.0153 28.6946
121.1681 23.0130 28.6946
121.1676 23.0106 28.6945
121.1670 23.0082 28.6945
121.1665 23.0058 28.6945
121.1660 23.0035 28.6944
121.1654 23.0011 28.6944
121.1649 22.9987 28.6944
121.1643 22.9963 28.6943
121.1638 22.9939 28.6943
121.1633 22.9916 28.6943
121.1627 22.9892 28.6942
121.1622 22.9868 28.6942
121.1617 22.9844 28.6942
121.1611 22.9820 28.6941
121.1606 22.9797 28.6941
121.1599 22.9773 28.6941
121.1592 22.9750 28.6940
121.1586 22.9726 28.6940
121.1579 22.9702 28.6939
121.1572 22.9679 28.6939
121.1566 22.9655 28.6938
121.1559 22.9632 28.6938
121.1552 22.9608 28.6938
121.1545 22.9585 28.6937
121.1539 22.9561 28.6937
121.1532 22.9537 28.6936
121.1525 22.9514 28.6936
121.1519 22.9490 28.6935
121.1512 22.9467 28.6935
121.1505 22.9443 28.6935
121.1499 22.9420 28.6934
121.1492 22.9396 28.6934
121.1485 22.9373 28.6933
121.1479 22.9349 28.6933
121.1472 22.9325 28.6933
121.1464 22.9302 28.6932
121.1456 22.9279 28.6932
121.1448 22.9256 28.6931
121.1440 22.9233 28.6931
121.1432 22.9210 28.6930
121.1424 22.9187 28.6930
121.1417 22.9164 28.6929
121.1409 22.9141 28.6929
121.1401 22.9117 28.6928
121.1393 22.9094 28.6928
121.1385 22.9071 28.6927
121.1377 22.9048 28.6927
121.1369 22.9025 28.6926
121.1361 22.9002 28.6926
121.1353 22.8979 28.6925
121.1345 22.8956 28.6925
121.1338 22.8933 28.6924
121.1330 22.8909 28.6924
121.1322 22.8886 28.6923
121.1314 22.8863 28.6923
121.1310 22.8839 28.6922
121.1306 22.8815 28.6922
121.1302 22.8791 28.6922
121.1298 22.8767 28.6922
121.1294 22.8743 28.6921
121.1290 22.8719 28.6921
121.1286 22.8695 28.6921
121.1282 22.8671 28.6921
121.1278 22.8647 28.6920
121.1274 22.8623 28.6920
121.1270 22.8599 28.6920
121.1266 22.8574 28.6920
121.1263 22.8550 28.6919
121.1259 22.8526 28.6919
121.1255 22.8502 28.6919
121.1251 22.8478 28.6919
121.1247 22.8454 28.6918
121.1243 22.8430 28.6918
121.1239 22.8406 28.6918
121.1235 22.8382 28.6918
121.1232 22.8358 28.6917
121.1229 22.8334 28.6917
121.1226 22.8310 28.6917
121.1223 22.8286 28.6917
121.1220 22.8262 28.6917
121.1217 22.8238 28.6916
121.1214 22.8214 28.6916
121.1211 22.8189 28.6916
121.1208 22.8165 28.6916
121.1205 22.8141 28.6916
121.1202 22.8117 28.6915
121.1199 22.8093 28.6915
121.1196 22.8069 28.6915
121.1193 22.8045 28.6915
121.1190 22.8021 28.6915
121.1188 22.7997 28.6915
121.1185 22.7973 28.6914
121.1182 22.7949 28.6914
121.1179 22.7925 28.6914
121.1176 22.7901 28.6914
> Changhua
120.6467 24.3689 7.2795
120.6451 24.3670 7.2795
120.6434 24.3651 7.2795
120.6418 24.3632 7.2795
120.6401 24.3613 7.2795
120.6385 24.3594 7.2795
120.6368 24.3575 7.2795
120.6352 24.3556 7.2795
120.6336 24.3537 7.2795
120.6319 24.3518 7.2795
120.6303 24.3499 7.2795
120.6286 24.3480 7.2795
120.6270 24.3461 7.2795
120.6253 24.3442 7.2795
120.6237 24.3423 7.2795
120.6220 24.3404 7.2795
120.6204 24.3385 7.2795
120.6187 24.3366 7.2795
120.6171 24.3347 7.2795
120.6155 24.3328 7.2795
120.6138 24.3309 7.2795
120.6127 24.3287 7.2795
120.6115 24.3264 7.2795
120.6104 24.3242 7.2795
120.6093 24.3220 7.2795
120.6081 24.3198 7.2795
120.6070 24.3175 7.2795
120.6059 24.3153 7.2795
120.6047 24.3131 7.2795
120.6036 24.3109 7.2795
120.6025 24.3086 7.2795
120.6013 24.3064 7.2795
120.6002 24.3042 7.2795
120.5990 24.3019 7.2795
120.5979 24.2997 7.2795
120.5968 24.2975 7.2795
120.5956 24.2953 7.2795
120.5945 24.2930 7.2795
120.5934 24.2908 7.2795
120.5922 24.2886 7.2795
120.5911 24.2864 7.2795
120.5898 24.2842 7.2795
120.5884 24.2821 7.2795
120.5871 24.2800 7.2795
120.5857 24.2778 7.2795
120.5844 24.2757 7.2795
120.5831 24.2736 7.2795
120.5817 24.2714 7.2795
120.5804 24.2693 7.2795
120.5791 24.2672 7.2795
120.5777 24.2650 7.2795
120.5764 24.2629 7.2795
120.5750 24.2608 7.2795
120.5737 24.2586 7.2795
120.5724 24.2565 7.2795
120.5710 24.2544 7.2795
120.5697 24.2522 7.2795
120.5684 24.2501 7.2795
120.5670 24.2480 7.2795
120.5657 24.2458 7.2795
120.5643 24.2437 7.2795
120.5636 24.2414 7.2795
120.5628 24.2390 7.2795
120.5620 24.2367 7.2795
120.5612 24.2344 7.2795
120.5604 24.2320 7.2795
120.5596 24.2297 7.2795
120.5588 24.2273 7.2795
120.5580 24.2250 7.2795
120.5572 24.2227 7.2795
120.5565 24.2203 7.2795
120.5557 24.2180 7.2795
120.5549 24.2156 7.2795
120.5541 24.2133 7.2795
120.5533 24.2110 7.2795
120.5525 24.2086 7.2795
120.5517 24.2063 7.2795
120.5509 24.2039 7.2795
120.5501 24.2016 7.2795
120.5493 24.1993 7.2795
120.5486 24.1969 7.2795
120.5486 24.1945 7.2795
120.5486 24.1921 7.2795
120.5486 24.1897 7.2795
120.5486 24.1873 7.2795
120.5486 24.1850 7.2795
120.5486 24.1826 7.2795
120.5486 24.1802 7.2795
120.5486 24.1778 7.2795
120.5486 24.1754 7.2795
120.5486 24.1730 7.2795
120.5486 24.1706 7.2795
120.5486 24.1682 7.2795
120.5486 24.1658 7.2795
120.5486 24.1634 7.2795
120.5486 24.1610 7.2795
120.5486 24.1586 7.2795
120.5486 24.1562 7.2795
120.5486 24.1538 7.2795
120.5486 24.1514 7.2795
120.5486 24.1490 7.2795
120.5486 24.1466 7.2795
120.5486 24.1441 7.2795
120.5486 24.1417 7.2795
120.5486 24.1392 7.2795
120.5486 24.1368 7.2795
120.5486 24.1343 7.2795
120.5486 24.1319 7.2795
120.5486 24.1294 7.2795
120.5486 24.1270 7.2795
120.5486 24.1245 7.2795
120.5486 24.1221 7.2795
120.5486 24.1196 7.2795
120.5486 24.1172 7.2795
120.5486 24.1147 7.2795
120.5486 24.1123 7.2795
120.5486 24.1098 7.2795
120.5486 24.1074 7.2795
120.5486 24.1049 7.2795
120.5486 24.1024 7.2795
120.5486 24.1000 7.2795
120.5485 24.0975 7.2795
120.5483 24.0951 7.2795
120.5481 24.0927 7.2795
120.5480 24.0902 7.2795
120.5478 24.0878 7.2795
120.5477 24.0853 7.2795
120.5475 24.0829 7.2795
120.5474 24.0804 7.2795
120.5472 24.0780 7.2795
120.5470 24.0755 7.2795
120.5469 24.0731 7.2795
120.5467 24.0706 7.2795
120.5466 24.0682 7.2795
120.5464 24.0657 7.2795
120.5462 24.0633 7.2795
120.5461 24.0608 7.2795
120.5459 24.0584 7.2795
120.5458 24.0559 7.2795
120.5456 24.0535 7.2795
120.5455 24.0510 7.2795
120.5469 24.0491 7.2795
120.5483 24.0472 7.2795
120.5497 24.0453 7.2795
120.5511 24.0434 7.2795
120.5525 24.0415 7.2795
120.5539 24.0396 7.2795
120.5553 24.0377 7.2795
120.5568 24.0358 7.2795
120.5582 24.0339 7.2795
120.5596 24.0320 7.2795
120.5610 24.0300 7.2795
120.5624 24.0281 7.2795
120.5638 24.0262 7.2795
120.5652 24.0243 7.2795
120.5666 24.0224 7.2795
120.5681 24.0205 7.2795
120.5695 24.0186 7.2795
120.5709 24.0167 7.2795
120.5723 24.0148 7.2795
120.5737 24.0129 7.2795
120.5752 24.0108 7.2795
120.5766 24.0087 7.2795
120.5781 24.0067 7.2795
120.5795 24.0046 7.2795
120.5810 24.0025 7.2795
120.5824 24.0005 7.2795
120.5839 23.9984 7.2795
120.5854 23.9963 7.2795
120.5868 23.9943 7.2795
120.5883 23.9922 7.2795
120.5897 23.9902 7.2795
120.5912 23.9881 7.2795
120.5926 23.9860 7.2795
120.5941 23.9840 7.2795
120.5956 23.9819 7.2795
120.5970 23.9798 7.2795
120.5985 23.9778 7.2795
120.5999 23.9757 7.2795
120.6014 23.9736 7.2795
120.6028 23.9716 7.2795
120.6033 23.9692 7.2795
120.6037 23.9668 7.2795
120.6041 23.9644 7.2795
120.6046 23.9621 7.2795
120.6050 23.9597 7.2795
120.6054 23.9573 7.2795
120.6059 23.9549 7.2795
120.6063 23.9525 7.2795
120.6067 23.9502 7.2795
120.6072 23.9478 7.2795
120.6076 23.9454 7.2795
120.6080 23.9430 7.2795
120.6084 23.9407 7.2795
120.6089 23.9383 7.2795
120.6093 23.9359 7.2795
120.6097 23.9335 7.2795
120.6102 23.9311 7.2795
120.6106 23.9288 7.2795
120.6110 23.9264 7.2795
120.6115 23.9240 7.2795
120.6115 23.9216 7.2795
120.6115 23.9192 7.2795
120.6115 23.9168 7.2795
120.6116 23.9144 7.2795
120.6116 23.9120 7.2795
120.6116 23.9096 7.2795
120.6116 23.9072 7.2795
120.6117 23.9048 7.2795
120.6117 23.9024 7.2795
120.6117 23.9000 7.2795
120.6117 23.8976 7.2795
120.6118 23.8952 7.2795
120.6118 23.8928 7.2795
120.6118 23.8904 7.2795
120.6118 23.8880 7.2795
120.6119 23.8856 7.2795
120.6119 23.8832 7.2795
120.6119 23.8808 7.2795
120.6119 23.8784 7.2795
120.6120 23.8760 7.2795
120.6118 23.8736 7.2795
120.6116 23.8711 7.2795
120.6114 23.8687 7.2795
120.6112 23.8663 7.2795
120.6110 23.8638 7.2795
120.6108 23.8614 7.2795
120.6107 23.8590 7.2795
120.6105 23.8565 7.2795
120.6103 23.8541 7.2795
120.6101 23.8516 7.2795
120.6099 23.8492 7.2795
120.6097 23.8468 7.2795
120.6095 23.8443 7.2795
120.6094 23.8419 7.2795
120.6092 23.8395 7.2795
120.6090 23.8370 7.2795
120.6088 23.8346 7.2795
120.6086 23.8321 7.2795
120.6084 23.8297 7.2795
120.6082 23.8273 7.2795
120.6085 23.8248 7.2795
120.6088 23.8224 7.2795
120.6091 23.8200 7.2795
120.6094 23.8175 7.2795
120.6097 23.8151 7.2795
120.6100 23.8127 7.2795
120.6103 23.8102 7.2795
120.6106 23.8078 7.2795
120.6108 23.8054 7.2795
120.6111 23.8029 7.2795
120.6114 23.8005 7.2795
120.6117 23.7980 7.2795
120.6120 23.7956 7.2795
120.6123 23.7932 7.2795
120.6126 23.7907 7.2795
120.6129 23.7883 7.2795
120.6132 23.7859 7.2795
120.6135 23.7834 7.2795
120.6138 23.7810 7.2795
120.6140 23.7786 7.2795
120.6137 23.7761 7.2795
120.6133 23.7737 7.2795
120.6129 23.7713 7.2795
120.6126 23.7688 7.2795
120.6122 23.7664 7.2795
120.6118 23.7640 7.2795
120.6115 23.7615 7.2795
120.6111 23.7591 7.2795
120.6107 23.7566 7.2795
120.6104 23.7542 7.2795
120.6100 23.7518 7.2795
120.6096 23.7493 7.2795
120.6093 23.7469 7.2795
120.6089 23.7445 7.2795
120.6085 23.7420 7.2795
120.6082 23.7396 7.2795
120.6078 23.7372 7.2795
120.6074 23.7347 7.2795
120.6071 23.7323 7.2795
120.6067 23.7299 7.2795
120.6065 23.7274 7.2795
120.6063 23.7250 7.2795
120.6061 23.7225 7.2795
120.6059 23.7201 7.2795
120.6057 23.7177 7.2795
120.6055 23.7152 7.2795
120.6053 23.7128 7.2795
120.6052 23.7103 7.2795
120.6050 23.7079 7.2795
120.6048 23.7054 7.2795
120.6046 23.7030 7.2795
120.6044 23.7006 7.2795
120.6042 23.6981 7.2795
120.6040 23.6957 7.2795
120.6038 23.6932 7.2795
120.6036 23.6908 7.2795
120.6034 23.6883 7.2795
120.6032 23.6859 7.2795
120.6030 23.6835 7.2795
120.6028 23.6810 7.2795
> Chaochou
120.7120 23.1233 50.3385
120.7104 23.1214 50.3385
120.7088 23.1196 50.3385
120.7072 23.1177 50.3385
120.7057 23.1159 50.3385
120.7041 23.1141 50.3385
120.7025 23.1122 50.3385
120.7009 23.1104 50.3385
120.6993 23.1085 50.3385
120.6977 23.1067 50.3385
120.6962 23.1048 50.3385
120.6946 23.1030 50.3385
120.6930 23.1012 50.3385
120.6914 23.0993 50.3385
120.6898 23.0975 50.3385
120.6883 23.0956 50.3385
120.6867 23.0938 50.3385
120.6851 23.0920 50.3385
120.6835 23.0901 50.3385
120.6819 23.0883 50.3385
120.6804 23.0864 50.3385
120.6793 23.0843 50.3385
120.6782 23.0822 50.3385
120.6771 23.0800 50.3385
120.6761 23.0779 50.3385
120.6750 23.0758 50.3385
120.6739 23.0736 50.3385
120.6729 23.0715 50.3385
120.6718 23.0694 50.3385
120.6707 23.0672 50.3385
120.6697 23.0651 50.3385
120.6686 23.0630 50.3385
120.6675 23.0608 50.3385
120.6665 23.0587 50.3385
120.6654 23.0566 50.3385
120.6643 23.0544 50.3385
120.6632 23.0523 50.3385
120.6622 23.0502 50.3385
120.6611 23.0480 50.3385
120.6600 23.0459 50.3385
120.6590 23.0438 50.3385
120.6582 23.0415 50.3385
120.6575 23.0392 50.3385
120.6568 23.0370 50.3385
120.6560 23.0347 50.3385
120.6553 23.0325 50.3385
120.6546 23.0302 50.3385
120.6538 23.0280 50.3385
120.6531 23.0257 50.3385
120.6524 23.0234 50.3385
120.6516 23.0212 50.3385
120.6509 23.0189 50.3385
120.6502 23.0167 50.3385
120.6495 23.0144 50.3385
120.6487 23.0121 50.3385
120.6480 23.0099 50.3385
120.6473 23.0076 50.3385
120.6465 23.0054 50.3385
120.6458 23.0031 50.3385
120.6451 23.0008 50.3385
120.6443 22.9986 50.3385
120.6446 22.9963 50.3385
120.6449 22.9940 50.3385
120.6451 22.9918 50.3385
120.6454 22.9895 50.3385
120.6457 22.9872 50.3385
120.6460 22.9849 50.3385
120.6462 22.9827 50.3385
120.6465 22.9804 50.3385
120.6468 22.9781 50.3385
120.6471 22.9758 50.3385
120.6473 22.9736 50.3385
120.6476 22.9713 50.3385
120.6479 22.9690 50.3385
120.6482 22.9667 50.3385
120.6484 22.9645 50.3385
120.6487 22.9622 50.3385
120.6490 22.9599 50.3385
120.6493 22.9576 50.3385
120.6495 22.9554 50.3385
120.6498 22.9531 50.3385
120.6498 22.9508 50.3385
120.6498 22.9484 50.3385
120.6499 22.9461 50.3385
120.6499 22.9438 50.3385
120.6499 22.9415 50.3385
120.6499 22.9392 50.3385
120.6499 22.9368 50.3385
120.6500 22.9345 50.3385
120.6500 22.9322 50.3385
120.6500 22.9299 50.3385
120.6500 22.9276 50.3385
120.6500 22.9252 50.3385
120.6501 22.9229 50.3385
120.6501 22.9206 50.3385
120.6501 22.9183 50.3385
120.6501 22.9160 50.3385
120.6501 22.9136 50.3385
120.6501 22.9113 50.3385
120.6502 22.9090 50.3385
120.6502 22.9067 50.3385
120.6493 22.9045 50.3385
120.6485 22.9023 50.3385
120.6476 22.9002 50.3385
120.6468 22.8980 50.3385
120.6459 22.8959 50.3385
120.6451 22.8937 50.3385
120.6442 22.8915 50.3385
120.6434 22.8894 50.3385
120.6425 22.8872 50.3385
120.6417 22.8851 50.3385
120.6408 22.8829 50.3385
120.6400 22.8807 50.3385
120.6391 22.8786 50.3385
120.6383 22.8764 50.3385
120.6374 22.8743 50.3385
120.6366 22.8721 50.3385
120.6357 22.8699 50.3385
120.6348 22.8678 50.3385
120.6340 22.8656 50.3385
120.6331 22.8635 50.3385
120.6328 22.8612 50.3385
120.6324 22.8589 50.3385
120.6321 22.8566 50.3385
120.6317 22.8543 50.3385
120.6314 22.8520 50.3385
120.6310 22.8497 50.3385
120.6307 22.8474 50.3385
120.6303 22.8451 50.3385
120.6300 22.8428 50.3385
120.6296 22.8405 50.3385
120.6293 22.8382 50.3385
120.6289 22.8359 50.3385
120.6285 22.8336 50.3385
120.6282 22.8313 50.3385
120.6278 22.8290 50.3385
120.6275 22.8268 50.3385
120.6271 22.8245 50.3385
120.6268 22.8222 50.3385
120.6264 22.8199 50.3385
120.6261 22.8176 50.3385
120.6262 22.8153 50.3385
120.6262 22.8130 50.3385
120.6263 22.8108 50.3385
120.6264 22.8085 50.3385
120.6265 22.8062 50.3385
120.6265 22.8039 50.3385
120.6266 22.8016 50.3385
120.6267 22.7994 50.3385
120.6268 22.7971 50.3385
120.6268 22.7948 50.3385
120.6269 22.7925 50.3385
120.6270 22.7903 50.3385
120.6271 22.7880 50.3385
120.6272 22.7857 50.3385
120.6272 22.7834 50.3385
120.6273 22.7812 50.3385
120.6274 22.7789 50.3385
120.6275 22.7766 50.3385
120.6275 22.7743 50.3385
120.6276 22.7721 50.3385
120.6270 22.7698 50.3385
120.6264 22.7676 50.3385
120.6257 22.7653 50.3385
120.6251 22.7630 50.3385
120.6245 22.7608 50.3385
120.6238 22.7585 50.3385
120.6232 22.7563 50.3385
120.6226 22.7540 50.3385
120.6220 22.7518 50.3385
120.6213 22.7495 50.3385
120.6207 22.7473 50.3385
120.6201 22.7450 50.3385
120.6194 22.7428 50.3385
120.6188 22.7405 50.3385
120.6182 22.7382 50.3385
120.6176 22.7360 50.3385
120.6169 22.7337 50.3385
120.6163 22.7315 50.3385
120.6157 22.7292 50.3385
120.6151 22.7270 50.3385
120.6147 22.7246 50.3385
120.6144 22.7223 50.3385
120.6140 22.7200 50.3385
120.6137 22.7176 50.3385
120.6133 22.7153 50.3385
120.6130 22.7129 50.3385
120.6127 22.7106 50.3385
120.6123 22.7083 50.3385
120.6120 22.7059 50.3385
120.6116 22.7036 50.3385
120.6113 22.7012 50.3385
120.6109 22.6989 50.3385
120.6106 22.6966 50.3385
120.6103 22.6942 50.3385
120.6099 22.6919 50.3385
120.6096 22.6895 50.3385
120.6092 22.6872 50.3385
120.6089 22.6849 50.3385
120.6086 22.6825 50.3385
120.6082 22.6802 50.3385
120.6079 22.6779 50.3385
120.6076 22.6755 50.3385
120.6073 22.6732 50.3385
